dfpap,dfpmp,%win,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
7,4.00,0.56,0.59,2705315,130371,2704244,83690,47771947,890
7,5.00,0.56,0.58,3111100,138688,3110132,96289,54667226,894
7,6.00,0.54,0.58,3286492,141660,3285628,101863,59781713,846
7,7.00,0.54,0.58,3374943,144708,3373924,104564,61574307,895
7,8.00,0.53,0.58,3442143,145646,3441254,106752,63555383,878
7,9.00,0.53,0.58,3754798,153445,3753825,116410,64269351,887
8,0.00,0.56,0.59,1993805,116560,1992530,62159,32487541,820
8,1.00,0.56,0.59,1863707,115419,1862441,58053,31705591,859
8,10.00,0.53,0.57,3569165,147511,3568294,110744,59970591,846
8,2.00,0.56,0.58,2054427,120512,2053303,63887,34764916,876
8,3.00,0.57,0.59,2267014,123958,2265958,70258,40665525,815
8,4.00,0.56,0.58,2701945,130121,2700914,83625,49040668,855
8,5.00,0.55,0.58,3182960,139180,3182074,98505,52997624,894
8,6.00,0.54,0.58,3327212,142532,3326318,103053,61008726,993
8,7.00,0.53,0.57,3537002,146386,3536132,109795,59585443,906
8,8.00,0.53,0.58,3656306,151879,3655197,113329,67237283,1076
8,9.00,0.53,0.58,3673923,152190,3672869,113819,67267883,1270
9,0.00,0.56,0.59,2080258,122040,2078995,64640,35829671,908
9,1.00,0.55,0.58,2065115,117690,2063816,64338,32929039,837
9,10.00,0.53,0.58,3703666,152906,3702654,114710,67686201,1076
9,2.00,0.56,0.59,2072814,120983,2071658,64448,34563783,826
9,3.00,0.56,0.58,2296160,125310,2295077,71280,40540739,867
9,4.00,0.56,0.58,2812209,131670,2811258,86959,46406711,859
9,5.00,0.55,0.58,3048608,137091,3047686,94412,56188443,947
9,6.00,0.54,0.58,3392393,145678,3391427,105088,63422348,961
9,7.00,0.53,0.58,3705596,152201,3704639,114811,65397814,995
9,8.00,0.53,0.58,3703219,153550,3702211,114757,68163628,1212
9,9.00,0.53,0.58,3570996,147380,3569917,110725,59700731,923
