dfpap,dfpmp,%win,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
6,0.75,0.48,0.50,1783000,113327,1781650,55627,30822241,954
6,1.00,0.47,0.49,1836533,114635,1835281,57355,31595112,859
6,1.25,0.48,0.50,1791954,113504,1790690,55890,30100171,786
6,1.50,0.47,0.49,1890161,116459,1888925,58913,32345810,772
6,1.75,0.48,0.50,1880431,116816,1879159,58600,32084445,743
6,2.00,0.47,0.49,1987425,118515,1986215,61910,33997910,783
6,2.25,0.48,0.49,2073884,117413,2072723,64474,32707585,772
6,2.50,0.48,0.49,2061973,119418,2060817,64041,35240054,758
6,2.75,0.48,0.50,2136516,121533,2135337,66364,36715121,955
6,3.00,0.48,0.50,2184505,122077,2183358,67786,39440452,849
7,0.00,0.48,0.50,1877598,113514,1876365,58501,30828157,820
7,0.25,0.47,0.49,1985779,114889,1984506,62017,32619131,893
7,0.50,0.48,0.50,1837829,113800,1836617,57265,31872829,941
7,0.75,0.47,0.50,1868874,114691,1867634,58253,32594545,914
7,1.00,0.48,0.50,1828513,113585,1827265,56996,30870880,859
7,1.25,0.48,0.50,1872867,113445,1871550,58350,29912198,782
7,1.50,0.48,0.50,1897461,115900,1896189,59139,32046995,736
7,1.75,0.48,0.50,2021495,118205,2020217,62931,32139843,767
7,2.00,0.48,0.50,2046856,118277,2045506,63592,32102522,809
7,2.25,0.48,0.50,2047034,119144,2045852,63651,34613365,845
7,2.50,0.48,0.49,2248843,121895,2247650,69878,35872798,801
7,2.75,0.48,0.50,2070879,122053,2069722,64342,38073002,873
7,3.00,0.48,0.50,2301976,124114,2300912,71446,39688491,840
8,0.00,0.48,0.50,1883275,115667,1882074,58662,32922997,908
8,0.25,0.47,0.50,1853716,115713,1852641,57958,35073783,1030
8,0.50,0.47,0.50,1912364,115329,1911044,59574,33023986,941
8,0.75,0.47,0.50,1984534,116583,1983296,61810,32955284,914
8,1.00,0.48,0.50,2000606,116142,1999339,62243,32085253,813
8,1.25,0.48,0.50,1871324,116565,1870040,58290,31822619,786
8,1.50,0.48,0.50,1973007,118735,1971824,61451,33402451,755
8,1.75,0.48,0.50,1984552,119466,1983337,61758,33581906,793
